time,date,text,current_date
00:01:14,1718022794.0,宝贝我还是太相信你了宝贝,2024-06-10 20:33:14
00:06:23,1718011204.0,《手术》,2024-06-10 17:20:04
00:04:58,1718029949.0,小偷视角↓,2024-06-10 22:32:29
00:02:35,1718010786.0,凸碾,2024-06-10 17:13:06
00:01:33,1718011160.0,所以这个游戏是抓小偷还是小偷抓我们？,2024-06-10 17:19:20
00:03:25,1718010958.0,《男色》,2024-06-10 17:15:58
00:00:19,1718017131.0,《直接闪肘他》,2024-06-10 18:58:51
00:05:04,1718011804.0,邻居:我家锁怎么坏了,2024-06-10 17:30:04
00:06:14,1718011000.0,勾唇一笑警告,2024-06-10 17:16:40
00:03:56,1718026631.0,他真的很喜欢黄门,2024-06-10 21:37:11
00:04:39,1718011541.0,《小偷》,2024-06-10 17:25:41
00:05:47,1718012430.0,大家都在注意里面小偷其实在中间靠前的箱子爬着,2024-06-10 17:40:30
00:05:46,1718010772.0,怎么看见的？,2024-06-10 17:12:52
00:04:51,1718013256.0,《《真正的小偷在开锁》》,2024-06-10 17:54:16
00:05:17,1718011441.0,同行竞争是吧,2024-06-10 17:24:01
00:02:01,1718011056.0,古希腊掌管肘的神明,2024-06-10 17:17:36
00:06:38,1718010983.0,《没炸》,2024-06-10 17:16:23
00:00:13,1718010897.0,《开硕》,2024-06-10 17:14:57
00:06:01,1718010854.0,《小丑》,2024-06-10 17:14:14
00:03:30,1718010772.0,这门质量真好,2024-06-10 17:12:52
00:01:07,1718010637.0,前方左侧贴脸警告,2024-06-10 17:10:37
00:02:16,1718010632.0,《历史的》（手动变绿）,2024-06-10 17:10:32
00:00:28,1718010520.0,闪肘（闪现接肘击）,2024-06-10 17:08:40
00:00:42,1718260834.0,闪肘=闪走,2024-06-13 14:40:34
00:01:11,1718259048.0,啊啊啊啊啊啊宝贝吓到我了,2024-06-13 14:10:48
00:06:16,1718258848.0,啾咪咪~,2024-06-13 14:07:28
00:01:24,1718257919.0,宝了个贝的吓死我了,2024-06-13 13:51:59
00:03:54,1718257804.0,就一直守门吗，这游戏看着有点无聊啊,2024-06-13 13:50:04
00:01:13,1718257439.0,啊啊啊啊啊啊啊啊啊啊,2024-06-13 13:43:59
00:00:07,1718257332.0,安全区up,2024-06-13 13:42:12
00:01:11,1718257231.0,救命啊,2024-06-13 13:40:31
00:01:11,1718256647.0,沃日,2024-06-13 13:30:47
00:00:05,1718256128.0,啊，1点刚看才56w粉丝啊，1点半就60w了,2024-06-13 13:22:08
00:04:39,1718255817.0,到底是我是小偷还是他是小偷,2024-06-13 13:16:57
00:00:55,1718255261.0,怎么刚发完弹幕就看见了哈哈,2024-06-13 13:07:41
00:00:38,1718255224.0,没见过这个游戏，但就前面这几下，快得我都没见着小偷...,2024-06-13 13:07:04
00:03:04,1718254910.0,这是强盗还是小偷？,2024-06-13 13:01:50
00:05:08,1718254683.0,《反客为主》,2024-06-13 12:58:03
00:01:10,1718254271.0,谢谢高能君,2024-06-13 12:51:11
00:01:12,1718253981.0,手机差点掉，没有一丝防备,2024-06-13 12:46:21
00:01:12,1718253842.0,吓我一激灵,2024-06-13 12:44:02
00:01:12,1718253608.0,麻痹的，宝贝被吓了一跳,2024-06-13 12:40:08
00:01:13,1718253306.0,宝贝我刚刚被吓到了,2024-06-13 12:35:06
00:00:56,1718253207.0,[前方高能],2024-06-13 12:33:27
00:01:18,1718252467.0,我看到高能，我还在疑惑好家伙，直接一个我草,2024-06-13 12:21:07
00:03:03,1718250961.0,肘了,2024-06-13 11:56:01
00:01:15,1718250838.0,吓我一跳,2024-06-13 11:53:58
00:01:15,1718250371.0,吓我一跳,2024-06-13 11:46:11
00:01:22,1718246236.0,靠有高能还是被吓到了,2024-06-13 10:37:16
00:00:22,1718244457.0,为什么我就刷了一个视频就涨了一万粉丝啊喂,2024-06-13 10:07:37
00:05:05,1718243192.0,《妹有仔》,2024-06-13 09:46:32
00:04:40,1718243060.0,《妹友仔》,2024-06-13 09:44:20
00:00:51,1718242903.0,声音可爱捏,2024-06-13 09:41:43
00:05:45,1718241358.0,主播的口音把我笑死,2024-06-13 09:15:58
00:01:15,1718235823.0,666666666,2024-06-13 07:43:43
00:02:36,1718235684.0,相信你宝贝,2024-06-13 07:41:24
00:01:13,1718235577.0,宝贝吓到我了,2024-06-13 07:39:37
00:01:16,1718234227.0,吓死我了,2024-06-13 07:17:07
00:01:17,1718218474.0,吓死我了,2024-06-13 02:54:34
00:06:39,1718216909.0,哈哈哈哈难得有让人喜欢的口音,2024-06-13 02:28:29
00:01:11,1718216727.0,宝贝吓到我了！！,2024-06-13 02:25:27
00:01:15,1718216522.0,宝贝吓到了,2024-06-13 02:22:02
00:01:47,1718215444.0,肘了,2024-06-13 02:04:04
00:01:10,1718214439.0,尼玛吓鼠了,2024-06-13 01:47:19
00:01:14,1718213813.0,啊米诺斯,2024-06-13 01:36:53
00:00:52,1718213778.0,这是自己家的门吗？,2024-06-13 01:36:18
00:04:25,1718211752.0,到底谁是小偷,2024-06-13 01:02:32
00:00:58,1718209316.0,神经吓我一跳,2024-06-13 00:21:56
00:00:45,1718208834.0,每日亿肘,2024-06-13 00:13:54
00:02:08,1718207982.0,《狂肘日记》,2024-06-12 23:59:42
00:02:06,1718207410.0,宝贝我害怕,2024-06-12 23:50:10
00:06:06,1718207266.0,[前方高能],2024-06-12 23:47:46
00:05:56,1718207252.0,[前方高能],2024-06-12 23:47:32
00:01:10,1718206856.0,吓我一跳,2024-06-12 23:40:56
00:00:07,1718206782.0,来了劳宝,2024-06-12 23:39:42
00:01:06,1718205811.0,高能！！！！,2024-06-12 23:23:31
00:02:35,1718205475.0,在大门口的时候突脸了,2024-06-12 23:17:55
00:01:18,1718205249.0,要哭了，好吓人,2024-06-12 23:14:09
00:06:19,1718204922.0,高能预警高能预警高能预警高能预警,2024-06-12 23:08:42
00:06:14,1718204890.0,[前方高能前方高能前方高能前方高能前方高能前方高能],2024-06-12 23:08:10
00:01:07,1718204547.0,warningwarning,2024-06-12 23:02:27
00:01:03,1718204449.0,[前方高能],2024-06-12 23:00:49
00:01:14,1718204088.0,吓死我了啊啊啊啊啊啊,2024-06-12 22:54:48
00:01:43,1718203869.0,宝贝我不想相信你了，我害怕了,2024-06-12 22:51:09
00:06:11,1718203361.0,1,2024-06-12 22:42:41
00:06:10,1718203357.0,2,2024-06-12 22:42:37
00:06:09,1718203352.0,3,2024-06-12 22:42:32
00:05:12,1718203222.0,开锁师傅,2024-06-12 22:40:22
00:06:40,1718202232.0,摊牌了属于是,2024-06-12 22:23:52
00:01:12,1718202203.0,卧槽,2024-06-12 22:23:23
00:01:08,1718201727.0,優美的臉龐,2024-06-12 22:15:27
00:00:28,1718201392.0,《闪电肘击》,2024-06-12 22:09:52
00:00:07,1718201209.0,不是我几天没见，怎么粉丝就58万了,2024-06-12 22:06:49
00:01:11,1718200802.0,关了弹幕吓我一跳！,2024-06-12 22:00:02
00:03:14,1718200648.0,宝贝我再也不相信你了,2024-06-12 21:57:28
00:01:10,1718200524.0,吓死宝贝了！！！,2024-06-12 21:55:24
00:00:34,1718200494.0,宝贝区up主,2024-06-12 21:54:54
00:00:47,1718200357.0,他大前天才30万多分,2024-06-12 21:52:37
00:01:16,1718200253.0,艹,2024-06-12 21:50:53
00:02:53,1718200179.0,这是小偷？强盗！,2024-06-12 21:49:39
00:01:13,1718199882.0,吓我一跳,2024-06-12 21:44:42
00:01:52,1718199455.0,爆头线（）,2024-06-12 21:37:35
00:01:29,1718199419.0,半夜看的给我吓一跳,2024-06-12 21:36:59
00:01:11,1718199385.0,晚上睡不着觉了,2024-06-12 21:36:25
00:01:11,1718199369.0,卧槽吓我一跳,2024-06-12 21:36:09
00:01:17,1718199338.0,这涨粉速度真恐怖,2024-06-12 21:35:38
00:00:49,1718199148.0,午夜后宫缩减版,2024-06-12 21:32:28
00:01:18,1718198825.0,吓死了我草,2024-06-12 21:27:05
00:01:11,1718198726.0,啊,2024-06-12 21:25:26
00:00:19,1718198460.0,宝贝我来辣！,2024-06-12 21:21:00
00:01:40,1718198138.0,《fnaf》,2024-06-12 21:15:38
00:01:24,1718198077.0,玩具熊的午夜后宫？,2024-06-12 21:14:37
00:01:16,1718197695.0,宝贝我有点关系了。,2024-06-12 21:08:15
00:01:13,1718197552.0,心脏病出来了,2024-06-12 21:05:52
00:00:59,1718197396.0,前方高能预警，01:09有突脸,2024-06-12 21:03:16
00:04:34,1718197186.0,到底谁是小偷啊,2024-06-12 20:59:46
00:00:25,1718196968.0,你家吗,2024-06-12 20:56:08
00:00:28,1718196897.0,开自己家的门能开这么久,2024-06-12 20:54:57
00:00:42,1718196522.0,宝贝,2024-06-12 20:48:42
00:04:08,1718196198.0,不是谁家装三个门啊？,2024-06-12 20:43:18
00:03:15,1718196136.0,怎么又涨到60万粉了？,2024-06-12 20:42:16
00:03:18,1718195325.0,宝贝的口音好可爱wwww,2024-06-12 20:28:45
00:00:48,1718195049.0,man！,2024-06-12 20:24:09
00:01:00,1718194969.0,[前方高能],2024-06-12 20:22:49
00:00:51,1718194925.0,前方突脸高能,2024-06-12 20:22:05
00:01:16,1718194787.0,靠,2024-06-12 20:19:47
00:01:01,1718193614.0,高能高能高能！！！！下次左边！！！！,2024-06-12 20:00:14
00:01:22,1718193440.0,水周：谁叫我？,2024-06-12 19:57:20
00:01:14,1718191739.0,啊啊啊啊啊啊啊啊,2024-06-12 19:28:59
00:06:36,1718190422.0,梅开三度,2024-06-12 19:07:02
00:04:39,1718190113.0,我怎么觉得玩家更像小偷呢？,2024-06-12 19:01:53
00:01:14,1718189987.0,啊啊啊啊啊宝贝怕怕,2024-06-12 18:59:47
00:01:10,1718189829.0,卧槽,2024-06-12 18:57:09
00:01:11,1718189328.0,能吓死我呀,2024-06-12 18:48:48
00:02:48,1718189178.0,你管这叫小偷？,2024-06-12 18:46:18
00:01:15,1718189085.0,宝贝被吓死了,2024-06-12 18:44:45
00:01:52,1718188886.0,man,2024-06-12 18:41:26
00:01:44,1718188875.0,倒反天罡,2024-06-12 18:41:15
00:02:44,1718188540.0,宝贝你让姐姐养你好不好,2024-06-12 18:35:40
00:00:58,1718188237.0,前方高能，请注意把手机拿远点，有个秃脸,2024-06-12 18:30:37
00:00:20,1718186957.0,57.8万了,2024-06-12 18:09:17
00:06:44,1718186882.0,没寨,2024-06-12 18:08:02
00:04:00,1718186710.0,他也太爱了,2024-06-12 18:05:10
00:01:14,1718186644.0,心肺骤停,2024-06-12 18:04:04
00:03:08,1718186271.0,宝贝长粉好快,2024-06-12 17:57:51
00:00:06,1718186246.0,上次看47万，现在50多了。,2024-06-12 17:57:26
00:01:29,1718185648.0,宝贝没打码，被吓到了，要负责,2024-06-12 17:47:28
00:03:25,1718182574.0,111111111111111111111111,2024-06-12 16:56:14
00:02:04,1718182113.0,往前肘,2024-06-12 16:48:33
00:01:11,1718182047.0,卧槽,2024-06-12 16:47:27
00:01:55,1718181873.0,-,2024-06-12 16:44:33
00:01:07,1718181547.0,[前方高能],2024-06-12 16:39:07
00:03:34,1718180798.0,宝贝,2024-06-12 16:26:38
00:01:12,1718177065.0,吓我一跳,2024-06-12 15:24:25
00:06:11,1718176930.0,[前方高能],2024-06-12 15:22:10
00:06:18,1718174614.0,长得像我室友,2024-06-12 14:43:34
00:01:12,1718174494.0,我嘞个大槽,2024-06-12 14:41:34
00:01:29,1718170871.0,完了，我被刚刚突脸下抖了,2024-06-12 13:41:11
00:01:11,1718170833.0,我丢，把我吓一跳,2024-06-12 13:40:33
00:00:08,1718170675.0,《最后柠剧》,2024-06-12 13:37:55
00:06:21,1718170455.0,小样 虾仁单身多少年了,2024-06-12 13:34:15
00:01:17,1718170155.0,吓死我了！！！,2024-06-12 13:29:15
00:06:43,1718170045.0,哈哈小丑,2024-06-12 13:27:25
00:01:27,1718170022.0,我信你个鬼，，，,2024-06-12 13:27:02
00:04:54,1718169392.0,所以到底谁是小偷？,2024-06-12 13:16:32
00:04:38,1718168989.0,房主来了，小偷躲一下,2024-06-12 13:09:49
00:01:09,1718168696.0,吓你大坝一雷,2024-06-12 13:04:56
00:00:03,1718168268.0,这粉丝量……速度逆天,2024-06-12 12:57:48
00:01:12,1718167923.0,WC吓我一激灵,2024-06-12 12:52:03
00:01:15,1718167654.0,吓死宝贝了,2024-06-12 12:47:34
00:04:00,1718167119.0,贪玩黄门,2024-06-12 12:38:39
00:01:10,1718167103.0,吓死我了呜呜呜呜呜,2024-06-12 12:38:23
00:00:04,1718166914.0,舒服了,2024-06-12 12:35:14
00:01:42,1718166856.0,哈哈这个游戏其实是我们是小偷，但好像偷了家精神病,2024-06-12 12:34:16
00:01:12,1718166582.0,不是怎么没有高能君,2024-06-12 12:29:42
00:01:11,1718166556.0,感谢高能君,2024-06-12 12:29:16
00:00:42,1718166538.0,古希腊掌管宝贝的up,2024-06-12 12:28:58
00:01:10,1718166252.0,我去吓一跳,2024-06-12 12:24:12
00:03:42,1718166127.0,相信你，宝宝(♡˙︶˙♡),2024-06-12 12:22:07
00:00:01,1718165932.0,宝贝区up主,2024-06-12 12:18:52
00:01:20,1718165748.0,我的妈，刚刚直接贴脸了，不是我好怕，不是说不用怕吗？,2024-06-12 12:15:48
00:00:15,1718165668.0,还思考为什么会刷到，一句宝贝使我幡然醒悟,2024-06-12 12:14:28
00:00:17,1718165514.0,爱你宝贝,2024-06-12 12:11:54
00:01:15,1718165029.0,刚才那个突脸吓死宝宝了,2024-06-12 12:03:49
00:00:44,1718164293.0,我想起你之前被反复突脸的狼狈样了,2024-06-12 11:51:33
00:01:10,1718164162.0,可恶，让他突到了,2024-06-12 11:49:22
00:01:19,1718163721.0,吓我一跳,2024-06-12 11:42:01
00:00:19,1718163408.0,看来大家都喜欢被叫宝贝,2024-06-12 11:36:48
00:00:24,1718161764.0,这涨粉速度，逆天了。,2024-06-12 11:09:24
00:01:11,1718161443.0,卧槽吓我一大跳,2024-06-12 11:04:03
00:00:17,1718161237.0,10天涨粉50W,2024-06-12 11:00:37
00:01:11,1718160722.0,阿米诺斯,2024-06-12 10:52:02
00:01:16,1718160471.0,wc吓我一跳,2024-06-12 10:47:51
00:01:10,1718160428.0,啊啊啊吓到我了宝贝,2024-06-12 10:47:08
00:02:01,1718157809.0,动了会怎么样,2024-06-12 10:03:29
00:01:08,1718157101.0,吓我一跳,2024-06-12 09:51:41
00:01:12,1718156881.0,卧槽这是第一个吓得我浑身颤抖的突脸,2024-06-12 09:48:01
