time,date,text,current_date
00:00:56,1717773780.0,虎先锋三拳干碎你的大圣梦,2024-06-07 23:23:00
00:08:57,1717812894.0,意思是心魔不是现世的存在 而是在大圣心中的 所以第三视角下只有大圣一人在此,2024-06-08 10:14:54
00:01:17,1717770121.0,感觉脸部还是有些僵硬，没什么表情，有时眼神还会飘,2024-06-07 22:22:01
00:01:59,1717817872.0,说72般变化时，这个循循善诱的口气太好听了，“你一定要学72变哦”,2024-06-08 11:37:52
00:08:06,1717769858.0,速去游科报到,2024-06-07 22:17:38
00:04:43,1717771652.0,←看，天上有个羊驼           ,2024-06-07 22:47:32
00:02:49,1717785339.0,这台词功力，现在几乎没有了,2024-06-08 02:35:39
00:05:03,1717811284.0,真：《大力水手》,2024-06-08 09:48:04
00:00:39,1717775095.0,这摔的一下好像虹猫,2024-06-07 23:44:55
00:03:13,1717782800.0,佛祖不宽容，但自己的道家师父宽容悟空,2024-06-08 01:53:20
00:05:42,1717788213.0,此时，屏幕前，出现了一位靓猴,2024-06-08 03:23:33
00:03:32,1717776016.0,等什么续作  地府和龙宫城DLC就可以大展拳脚,2024-06-08 00:00:16
00:03:07,1717767389.0,这个太牛了！！！,2024-06-07 21:36:29
00:01:06,1717768621.0,你的创意很好，马上就是我页游广告的了,2024-06-07 21:57:01
00:01:36,1717777076.0,菩提！师傅！,2024-06-08 00:17:56
00:08:57,1717796344.0,夏日游戏节广告费太贵了，没法放这个长度的cg，一分钟就要55w刀，抢钱呢,2024-06-08 05:39:04
00:01:52,1717768154.0,这个抓手的donx,2024-06-07 21:49:14
00:07:51,1717780882.0,你们别对比，一个是实机游戏，一个是影视动画，渲染当然不一样,2024-06-08 01:21:22
00:07:25,1717771022.0,金猴奋起千钧棒,2024-06-07 22:37:02
00:00:01,1717777590.0,洛恩佐闻着味就来了,2024-06-08 00:26:30
00:04:20,1717772521.0,黑神话水猴子环节,2024-06-07 23:02:01
00:02:32,1717770702.0,唐僧是师傅，菩提祖师才是师父啊，悟空真正无助的时候只有他能帮的到,2024-06-07 22:31:42
00:05:46,1717770336.0,猴子手上没毛,2024-06-07 22:25:36
00:03:46,1717768803.0,你这么牛逼游科知道吗,2024-06-07 22:00:03
00:00:33,1717767956.0,《怡宝》,2024-06-07 21:45:56
00:06:46,1717766099.0,不得不说，up主把黑猴的Bgm用的一点都不违和，实在是妙啊！,2024-06-07 21:14:59
00:08:26,1717766001.0,全体起立,2024-06-07 21:13:21
00:05:21,1717765285.0,原作紧箍就是像金线一样,2024-06-07 21:01:25
00:02:07,1717846616.0,说72变包含36变的，自己去了解下，72变乃72种神通，这是变化自身来适应环境，而36变是变化环境来达到自己的目的，36变是比72变厉害的，但是猴子开始不懂看哪个多就选了哪个了,2024-06-08 19:36:56
00:01:59,1717909853.0,没有猴子的戾气 太像人了,2024-06-09 13:10:53
00:02:29,1717909751.0,准提,2024-06-09 13:09:11
00:00:23,1717909710.0,66,2024-06-09 13:08:30
00:01:28,1717909650.0,就是没戴金箍，大圣后面金甲出场没戴金箍的,2024-06-09 13:07:30
