time,date,text,current_date
00:00:19,1718184641.0,up今年少说涨了200万吧 必拿百大的好吧,2024-06-12 17:30:41
00:00:24,1718167035.0,每日白给蹦极（1/1）,2024-06-12 12:37:15
00:01:31,1718167098.0,每曰一光（10/1）,2024-06-12 12:38:18
00:01:38,1718167034.0,每日一…一列光,2024-06-12 12:37:14
00:00:51,1718166850.0,霜华漫天,2024-06-12 12:34:10
00:03:26,1718168170.0,将大局逆逆逆逆逆转吧[doge],2024-06-12 12:56:10
00:04:07,1718167066.0,皇家礼炮,2024-06-12 12:37:46
00:01:01,1718166868.0,看着这么多金币飞来飞去的有点心疼。,2024-06-12 12:34:28
00:02:13,1718167077.0,我嘞个女大军团,2024-06-12 12:37:57
00:02:33,1718167028.0,每日一光(30/10),2024-06-12 12:37:08
00:02:47,1718167169.0,手提御界斥千钧，昔日锦鲤化金龙,2024-06-12 12:39:29
00:03:15,1718167577.0,其实现在最核武器的是小猪存钱罐,2024-06-12 12:46:17
00:03:55,1718167364.0,还会再见面，麦蔻！（罗太音）,2024-06-12 12:42:44
00:02:24,1718167330.0,飞贼:你给我干哪来了，这是国内吗,2024-06-12 12:42:10
00:01:46,1718167314.0,阳光通货膨胀,2024-06-12 12:41:54
00:03:32,1718167061.0,宾利车队也来了，但是我们有男大学生,2024-06-12 12:37:41
00:02:07,1718167000.0,女大学生->女子拉拉队,2024-06-12 12:36:40
00:01:55,1718166946.0,最对称的一集,2024-06-12 12:35:46
00:01:20,1718166914.0,一路巨人：“你挖NMD宝藏！”,2024-06-12 12:35:14
00:00:01,1718166899.0,305万粉了，这么快，还不到1个月涨200多万了,2024-06-12 12:34:59
00:00:32,1718166862.0,每日一光（5/1）,2024-06-12 12:34:22
00:00:38,1718166851.0,用那个回收阳光的回收全息就阳光自由了,2024-06-12 12:34:11
00:01:02,1718166857.0,空瓶是我的,2024-06-12 12:34:17
00:00:58,1718166903.0,马奇诺防线,2024-06-12 12:35:03
00:00:25,1718194283.0,百大好像不是粉丝数量↑,2024-06-12 20:11:23
00:00:54,1718168712.0,閃退救一下呀！（羅太超大聲）,2024-06-12 13:05:12
00:00:00,1718166808.0,一股强劲的音乐响起,2024-06-12 12:33:28
00:00:56,1718194157.0,显卡小鬼都是没有霜琴的 天天就会个显卡了,2024-06-12 20:09:17
00:00:22,1718168008.0,无敌版植物大战僵尸,2024-06-12 12:53:28
00:00:33,1718264849.0,百大评的不是综合性？,2024-06-13 15:47:29
00:00:56,1718264264.0,袁华满天飞,2024-06-13 15:37:44
00:00:36,1718264205.0,爽滑慢舔,2024-06-13 15:36:45
00:01:14,1718263815.0,索敌优化了诶,2024-06-13 15:30:15
00:00:11,1718263776.0,这个挑战我经常闪退怎么办,2024-06-13 15:29:36
00:00:07,1718263412.0,感谢up加油,2024-06-13 15:23:32
00:04:06,1718261848.0,马奇诺防线,2024-06-13 14:57:28
00:00:54,1718260895.0,刘星：我叫夏冰雹,2024-06-13 14:41:35
00:00:14,1718260872.0,排山倒海！,2024-06-13 14:41:12
00:00:52,1718260317.0,凛冬将至,2024-06-13 14:31:57
00:00:13,1718260038.0,抢红包,2024-06-13 14:27:18
00:02:20,1718259806.0,是我卡了吗,2024-06-13 14:23:26
00:00:56,1718259491.0,霜华满天,2024-06-13 14:18:11
00:00:41,1718259283.0,这Up主的影响力还不大吗,2024-06-13 14:14:43
00:01:58,1718259013.0,僵尸：要不我们去隔壁看看,2024-06-13 14:10:13
00:00:42,1718258898.0,↓这影响力还不够大吗,2024-06-13 14:08:18
00:01:35,1718258800.0,那个猪到底有啥用,2024-06-13 14:06:40
00:00:00,1718258611.0,《 排 山 倒 海 》,2024-06-13 14:03:31
00:02:00,1718258601.0,闪退呢，救一下啊,2024-06-13 14:03:21
00:02:06,1718258528.0,金币有啥用啊,2024-06-13 14:02:08
00:02:11,1718258339.0,女大团建！稳啦！,2024-06-13 13:58:59
00:00:51,1718258240.0,五个袁华（确信）,2024-06-13 13:57:20
00:03:29,1718258112.0,My life for the Yuri,2024-06-13 13:55:12
00:00:11,1718258104.0,57关卡住了 我靠,2024-06-13 13:55:04
00:00:50,1718257872.0,哈尔滨现状,2024-06-13 13:51:12
00:02:52,1718257797.0,全息投影是每种一个全植物减25费用,2024-06-13 13:49:57
00:00:40,1718257759.0,强啊,2024-06-13 13:49:19
00:00:48,1718257647.0,张万森下雪雪雪雪雪了,2024-06-13 13:47:27
00:00:33,1718256823.0,当代孟德尔,2024-06-13 13:33:43
00:00:54,1718256551.0,我啷个暴风雨,2024-06-13 13:29:11
00:00:16,1718256184.0,给资本瞧瞧网友对真正用心作品的爱,2024-06-13 13:23:04
00:02:03,1718256032.0,女大宿舍！,2024-06-13 13:20:32
00:00:49,1718255627.0,显卡攻击,2024-06-13 13:13:47
00:00:48,1718255610.0,漫天飞雨！,2024-06-13 13:13:30
00:00:27,1718255232.0,这不拿百大确实说不过去,2024-06-13 13:07:12
00:00:56,1718255137.0,为什么你不闪退！,2024-06-13 13:05:37
00:00:19,1718255113.0,我嘞个摇财郎朗啊,2024-06-13 13:05:13
00:00:48,1718255066.0,阿普今年已经涨了300万粉了,2024-06-13 13:04:26
00:01:05,1718254961.0,魔法猫咪 稳了稳了,2024-06-13 13:02:41
00:00:00,1718254358.0,前排提醒：神说要有光！,2024-06-13 12:52:38
00:02:43,1718254221.0,投影应该是被小丑炸了,2024-06-13 12:50:21
00:00:37,1718253987.0,一天不见多了十万粉丝,2024-06-13 12:46:27
00:01:43,1718253800.0,僵尸看到这火力，直接反方向进攻了,2024-06-13 12:43:20
00:00:54,1718253659.0,这。。。我电脑得崩了，哈哈哈,2024-06-13 12:40:59
00:00:21,1718253625.0,百大可能没有 黑马奖必须有吧,2024-06-13 12:40:25
00:01:25,1718253469.0,谈笑间损失一个宝藏挖掘者,2024-06-13 12:37:49
00:00:51,1718253346.0,没有闪退？,2024-06-13 12:35:46
