time,date,text,current_date
00:00:38,1717948021.0,逆水寒庄园党学会了,2024-06-09 23:47:01
00:00:42,1717945754.0,到底是搞艺术的,2024-06-09 23:09:14
00:00:16,1717991864.0,和现代的结合一下吧，真的,2024-06-10 11:57:44
00:00:11,1717982592.0,古人：胡说，我们一起没有亮面瓷砖,2024-06-10 09:23:12
00:00:21,1717949032.0,这期好像讲过了,2024-06-10 00:03:52
00:00:01,1717934089.0,好早啊啊啊,2024-06-09 19:54:49
00:00:27,1717963807.0,有没有可能是先搞到这些古董家具 再来装修的,2024-06-10 04:10:07
00:00:50,1717946683.0,还有很重要的一点是屋顶斜向的,2024-06-09 23:24:43
00:00:06,1717934332.0,第一次那么早,2024-06-09 19:58:52
00:00:54,1717950491.0,配的什么bgm哦.....,2024-06-10 00:28:11
00:00:50,1717983837.0,中式压抑简直从民族dna里透出来……看着就知道活着累,2024-06-10 09:43:57
00:00:40,1717979836.0,还是不好看啊，不如第一版。,2024-06-10 08:37:16
00:00:34,1718113685.0,不像家具，像以前鸦片馆,2024-06-11 21:48:05
00:00:44,1718000143.0,不如原来，单纯不喜欢画旁边的经典留白，那个留白很土很旧很压抑,2024-06-10 14:15:43
00:00:43,1717979577.0,还是不太协调啊，搁这自说自话呢,2024-06-10 08:32:57
00:00:56,1718210444.0,苏州博物馆！,2024-06-13 00:40:44
00:00:56,1718207930.0,这不苏博吗,2024-06-12 23:58:50
00:00:00,1718207828.0,在讯了个雷搜 风景真美 吃呱了,2024-06-12 23:57:08
00:00:01,1718207267.0,中间一个大窗户，解决,2024-06-12 23:47:47
00:00:53,1718204406.0,BGM：  Be what you wanna be,2024-06-12 23:00:06
00:00:43,1718202640.0,更丑,2024-06-12 22:30:40
00:00:30,1718200495.0,木地板谁用谁后悔,2024-06-12 21:54:55
00:00:56,1718192823.0,这个是苏州博物馆里面吧,2024-06-12 19:47:03
00:00:55,1718190443.0,现代中式风格家具……好看,2024-06-12 19:07:23
00:00:35,1718190403.0,好看！太好看啦！,2024-06-12 19:06:43
00:00:25,1718189958.0,前面的， 世间万物都有辐射，包括你和我。只是大部分都是无害的。只有小部分是电离辐射才是有爱的。,2024-06-12 18:59:18
00:00:34,1718189937.0,搞个博古架就行。,2024-06-12 18:58:57
00:00:53,1718188166.0,漂亮啊~,2024-06-12 18:29:26
00:00:45,1718187558.0,也不好看,2024-06-12 18:19:18
00:00:02,1718186714.0,跟我家一模一样,2024-06-12 18:05:14
00:00:45,1718185971.0,舒服就行管什么好不好看？你家是招待所啊,2024-06-12 17:52:51
00:00:43,1718185320.0,但是更难看了,2024-06-12 17:42:00
00:00:01,1718185277.0,和现代结合那得家具也都换成新中式，现代款式带一点古典元素，而不是纯古家具配现代背景,2024-06-12 17:41:17
00:00:19,1718185105.0,结合才不好看，真的最难看的就是古今混搭,2024-06-12 17:38:25
00:00:45,1718184978.0,逆天还没之前的好看,2024-06-12 17:36:18
00:00:52,1718182688.0,要不再把房子换掉，改成带院子的瓦片顶，不然哪里搭,2024-06-12 16:58:08
00:00:41,1718180247.0,看著好舒服,2024-06-12 16:17:27
00:00:18,1718180121.0,藏蟑螂,2024-06-12 16:15:21
00:00:18,1718179702.0,第一反应是中间挂个全家福,2024-06-12 16:08:22
00:00:49,1718175833.0,孔子云:何陋之有！,2024-06-12 15:03:53
00:00:40,1718172157.0,穷比,2024-06-12 14:02:37
00:00:11,1718157050.0,太古典的也不喜欢，当然你不需要问我,2024-06-12 09:50:50
00:00:39,1718155370.0,。。。。,2024-06-12 09:22:50
00:00:38,1718154825.0,《斯是陋室，惟吾德馨》,2024-06-12 09:13:45
00:00:29,1718141183.0,虽然他不高级，但他贵啊,2024-06-12 05:26:23
00:00:54,1718131013.0,中式窗子真的绝了,2024-06-12 02:36:53
00:00:15,1718124346.0,混泥土加地毯？赃，不好打扫啊。木地板的话，全是木头，感觉万一烧起来火会很大,2024-06-12 00:45:46
00:00:54,1718123045.0,额，哪里好看了,2024-06-12 00:24:05
00:00:38,1718120407.0,宋代绘画《文会图》  《听琴图》,2024-06-11 23:40:07
00:00:57,1718119326.0,贵,2024-06-11 23:22:06
00:00:33,1718118218.0,但是坐的并不舒服,2024-06-11 23:03:38
00:00:40,1718117525.0,地主家……,2024-06-11 22:52:05
00:00:42,1718115593.0,升华的小曲儿,2024-06-11 22:19:53
00:00:29,1718115360.0,这说辞好像在哪听过,2024-06-11 22:16:00
00:00:36,1718113272.0,我挂点画不行吗,2024-06-11 21:41:12
00:00:56,1718113032.0,BGM：感冒的圣诞节,2024-06-11 21:37:12
00:00:38,1718112643.0,只要你坚持以这个质量出视频，哥们，今年百大必有你。,2024-06-11 21:30:43
00:00:23,1718112298.0,难你天？！↑,2024-06-11 21:24:58
00:00:06,1718109543.0,当年的好好看。,2024-06-11 20:39:03
00:00:48,1718109380.0,前面物华弥新的别走,2024-06-11 20:36:20
00:00:54,1718108448.0,这张巨好看,2024-06-11 20:20:48
00:00:01,1718107905.0,@大石碎钢弹,2024-06-11 20:11:45
00:00:48,1718107805.0,鼻祖歌曲(1/1),2024-06-11 20:10:05
00:00:46,1718106912.0,侘寂是不是这么学的。,2024-06-11 19:55:12
00:00:00,1718106892.0,侘寂是不是这么学的。,2024-06-11 19:54:52
00:00:25,1718105747.0,bgm ：golden hour,2024-06-11 19:35:47
00:00:45,1718105419.0,但是都不好看,2024-06-11 19:30:19
00:00:45,1718105414.0,家居没有原来的好看,2024-06-11 19:30:14
00:00:42,1718103303.0,不是原来的家具因为之前的都没买啊这是设计图不是完成图,2024-06-11 18:55:03
00:00:57,1718103139.0,苏州博物馆,2024-06-11 18:52:19
00:00:43,1718099802.0,没怎么整齐肯定好看一看啦,2024-06-11 17:56:42
00:00:49,1718098366.0,啥背景音乐啊不如不放,2024-06-11 17:32:46
00:00:54,1718094774.0,bgm：be what you wanna be,2024-06-11 16:32:54
00:00:45,1718094390.0,丑,2024-06-11 16:26:30
00:00:46,1718093800.0,那个罗汉床是坐具，不是床,2024-06-11 16:16:40
00:00:45,1718093534.0,墙体装饰少了,2024-06-11 16:12:14
00:00:43,1718092400.0,不舒适啊,2024-06-11 15:53:20
00:00:45,1718091332.0,也报看,2024-06-11 15:35:32
00:00:23,1718088457.0,挂天道酬勤,2024-06-11 14:47:37
00:00:43,1718086468.0,？,2024-06-11 14:14:28
00:00:51,1718083724.0,问题在层高,2024-06-11 13:28:44
00:00:55,1718083087.0,还是丑,2024-06-11 13:18:07
00:00:43,1718082646.0,《顿舍布置参考》,2024-06-11 13:10:46
00:00:30,1718081126.0,专业,2024-06-11 12:45:26
00:00:37,1718080904.0,屏风,2024-06-11 12:41:44
00:00:04,1718080343.0,太好看了,2024-06-11 12:32:23
00:00:32,1718079812.0,这个凳子一看就不舒服,2024-06-11 12:23:32
00:00:51,1718079402.0,大户人家根本不会这样摆，这明显是穷没啥东西摆,2024-06-11 12:16:42
00:00:56,1718079387.0,苏州博物馆,2024-06-11 12:16:27
00:00:47,1718079373.0,不好看，摆的很乱很廉价没档次的感觉，就像是以前的穷苦人家的装饰,2024-06-11 12:16:13
00:00:56,1718078832.0,苏州博物院,2024-06-11 12:07:12
00:00:51,1718075100.0,以前的屋顶内棚也好看啊,2024-06-11 11:05:00
00:00:16,1718074952.0,因为以前的房子高啊,2024-06-11 11:02:32
00:00:56,1718074915.0,因为以前的房子高啊,2024-06-11 11:01:55
00:00:48,1718071959.0,看弹幕审美教育任重而道远,2024-06-11 10:12:39
00:00:18,1718070810.0,因为顶,2024-06-11 09:53:30
00:00:31,1718066031.0,牛逼，家具都换了,2024-06-11 08:33:51
00:00:43,1718065816.0,好看多了,2024-06-11 08:30:16
00:00:56,1718062406.0,以前屋子本来就高,2024-06-11 07:33:26
00:00:44,1718060751.0,我艹。。。,2024-06-11 07:05:51
00:00:46,1718058473.0,感觉更丑了,2024-06-11 06:27:53
00:00:21,1718056783.0,不只中间空，上面还没了,2024-06-11 05:59:43
00:00:56,1718056283.0,在博物馆见过明制家具，真的惊艳,2024-06-11 05:51:23
00:00:49,1718052426.0,有差别么,2024-06-11 04:47:06
00:00:42,1718052049.0,傻呗,2024-06-11 04:40:49
00:00:47,1718048745.0,并没有,2024-06-11 03:45:45
00:00:57,1718048475.0,苏博！,2024-06-11 03:41:15
00:00:41,1718048046.0,还是丑,2024-06-11 03:34:06
00:00:28,1718047126.0,花里胡哨,2024-06-11 03:18:46
00:00:47,1718046974.0,。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2024-06-11 03:16:14
00:00:01,1718046456.0,古人讲究风水,2024-06-11 03:07:36
00:00:05,1718046416.0,n。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2024-06-11 03:06:56
00:00:57,1718046254.0,h。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2024-06-11 03:04:14
00:00:00,1718044980.0,。。。。。,2024-06-11 02:43:00
00:00:33,1718043307.0,那我之前那些不白买了吗,2024-06-11 02:15:07
00:00:47,1718042367.0,更丑了,2024-06-11 01:59:27
00:00:45,1718042351.0,更丑了,2024-06-11 01:59:11
00:00:42,1718042097.0,这时候又叫留白了,2024-06-11 01:54:57
00:00:46,1718040137.0,不觉得,2024-06-11 01:22:17
00:00:43,1718040064.0,韩熙载夜宴图吗,2024-06-11 01:21:04
00:00:54,1718039697.0,我的女神林徽因,2024-06-11 01:14:57
00:00:44,1718038224.0,我觉得视觉上看着舒服多了 某些人欣赏不来就别看刷什么存在感 左上角不送,2024-06-11 00:50:24
00:00:48,1718036897.0,不行,2024-06-11 00:28:17
00:00:33,1718036863.0,贵啊,2024-06-11 00:27:43
00:00:45,1718036297.0,啥？好看啥,2024-06-11 00:18:17
00:00:41,1718035996.0,吗 ,2024-06-11 00:13:16
00:00:40,1718035987.0, ， ， ,2024-06-11 00:13:07
00:00:45,1718035906.0,用我家本来就大，不用这么装饰，他也是大,2024-06-11 00:11:46
00:00:42,1718034684.0,墙上的画挂多了很俗多,2024-06-10 23:51:24
00:00:43,1718034374.0,还是很丑,2024-06-10 23:46:14
00:00:32,1718034344.0,呦西矮挫风,2024-06-10 23:45:44
00:00:42,1718033810.0,更丑了,2024-06-10 23:36:50
00:00:45,1718033707.0,还是不好看,2024-06-10 23:35:07
00:00:10,1718033264.0,一切你有这大理石？,2024-06-10 23:27:44
00:00:49,1718033046.0,BGM是b what u wanna b,2024-06-10 23:24:06
00:00:36,1718032679.0,c，up你是会魔法吧,2024-06-10 23:17:59
00:00:38,1718032206.0,好老,2024-06-10 23:10:06
00:00:52,1718031541.0,古人尤其是大户人家的审美都很好,2024-06-10 22:59:01
00:00:47,1718031291.0,是歌姬吧,2024-06-10 22:54:51
00:00:38,1718030967.0,住寺庙里了,2024-06-10 22:49:27
00:00:53,1718030954.0,你们是不是觉得黑白的就是丑啊,2024-06-10 22:49:14
00:00:38,1718030635.0,别人咋说话都要管是吧,2024-06-10 22:43:55
00:00:53,1718030423.0,感觉用中文歌比较好,2024-06-10 22:40:23
00:00:39,1718029503.0,一样,2024-06-10 22:25:03
00:00:01,1718029391.0,笃信祖宗审美！,2024-06-10 22:23:11
00:00:55,1718029370.0,笃信祖宗审美,2024-06-10 22:22:50
00:00:39,1718028190.0,嘿来了兄弟，来蹲地上不用客气,2024-06-10 22:03:10
00:00:41,1718027910.0,空间挑高没有足够的高 是不行的,2024-06-10 21:58:30
00:00:37,1718027565.0,有点破,2024-06-10 21:52:45
00:00:13,1718027498.0,你以前用的起瓷砖？,2024-06-10 21:51:38
00:00:24,1718027395.0,我的桃源装修有救了,2024-06-10 21:49:55
00:00:22,1718026493.0,放一幅大山水画,2024-06-10 21:34:53
00:00:45,1718026221.0,简厚精雅,2024-06-10 21:30:21
00:00:24,1718026191.0,声音真地道,2024-06-10 21:29:51
00:00:00,1718026137.0,数字生命,2024-06-10 21:28:57
00:00:01,1718025790.0,欢迎回来,2024-06-10 21:23:10
00:00:51,1718025385.0,你屋顶不好，你中式摆的再好也不行,2024-06-10 21:16:25
00:00:50,1718025371.0,中式建筑最重要的点就是屋顶,2024-06-10 21:16:11
00:00:50,1718025361.0,是屋顶,2024-06-10 21:16:01
00:00:34,1718025330.0,床榻做不舒服，躺又不合适,2024-06-10 21:15:30
00:00:14,1718024801.0,我为套家具重新装修？,2024-06-10 21:06:41
00:00:47,1718024517.0,以前的传统风格可吓人了,2024-06-10 21:01:57
00:00:02,1718023778.0,赛博鬼打墙,2024-06-10 20:49:38
00:00:42,1718023723.0,丑,2024-06-10 20:48:43
00:00:56,1718023533.0,BGM是啥  找了好久,2024-06-10 20:45:33
00:00:54,1718023289.0,林徽因！！,2024-06-10 20:41:29
00:00:22,1718023261.0,这坐着难受,2024-06-10 20:41:01
00:00:49,1718022940.0,求音乐,2024-06-10 20:35:40
00:00:12,1718022704.0,或者环保实木板（狗头）,2024-06-10 20:31:44
00:00:24,1718022698.0,大理石在核电厂进的货是吧,2024-06-10 20:31:38
00:00:56,1718021938.0,苏博！,2024-06-10 20:18:58
00:00:35,1718021176.0,这已经不是原来的了。,2024-06-10 20:06:16
00:00:00,1718020882.0,可这不是g16吗,2024-06-10 20:01:22
00:00:41,1718020648.0,面积一样吗,2024-06-10 19:57:28
00:00:34,1718020463.0,这不更横了？,2024-06-10 19:54:23
00:00:46,1718020148.0,其实也不难受的这种木制沙发，我家的上面铺垫子后面也有靠背的坐着不难受的,2024-06-10 19:49:08
00:00:15,1718019650.0,古人也懂混凝土啊,2024-06-10 19:40:50
00:00:48,1718018951.0,好了，尘歌壶就这么摆,2024-06-10 19:29:11
00:00:48,1718018655.0,祖宗的审美,2024-06-10 19:24:15
00:00:48,1718018339.0,更丑了,2024-06-10 19:18:59
00:00:57,1718018330.0,丑,2024-06-10 19:18:50
00:00:43,1718018250.0,哦哦！！,2024-06-10 19:17:30
00:00:22,1718017873.0,尘歌壶教程,2024-06-10 19:11:13
00:00:07,1718017775.0,我感觉很重要的是因为屋顶不一样的，以前上层空间很大，柱子那种竖向线条也多,2024-06-10 19:09:35
00:00:00,1718017683.0,现在的中式都不够味是因为层高,2024-06-10 19:08:03
00:00:42,1718017636.0,更丑了,2024-06-10 19:07:16
00:00:46,1718017400.0,NO,2024-06-10 19:03:20
00:00:54,1718017383.0,依旧很丑,2024-06-10 19:03:03
00:00:43,1718017245.0,留白艺术,2024-06-10 19:00:45
00:00:52,1718017152.0,我还是觉得都挺磕碜的,2024-06-10 18:59:12
00:00:22,1718017039.0,家和万事兴,2024-06-10 18:57:19
00:00:55,1718016674.0,错落有致,2024-06-10 18:51:14
00:00:53,1718016670.0,他曲可,2024-06-10 18:51:10
00:00:53,1718016469.0,哪里平了？,2024-06-10 18:47:49
00:00:56,1718015891.0,苏州博物馆！,2024-06-10 18:38:11
00:00:49,1718015828.0,不咋地,2024-06-10 18:37:08
00:00:50,1718015673.0,为什么是外国bgm,2024-06-10 18:34:33
00:00:44,1718015288.0,但是人住着不舒服啊，混凝土特别容易落灰,2024-06-10 18:28:08
00:00:51,1718015237.0,丑,2024-06-10 18:27:17
00:00:55,1718015075.0,哪里好看。。。,2024-06-10 18:24:35
00:00:14,1718014793.0,？？？？,2024-06-10 18:19:53
00:00:15,1718014405.0,缺心眼,2024-06-10 18:13:25
00:00:49,1718014385.0,《音 乐 僵 尸》,2024-06-10 18:13:05
00:00:45,1718013884.0,好看多了=好看的有限,2024-06-10 18:04:44
00:00:54,1718013437.0,这个BGM有点渗得慌,2024-06-10 17:57:17
00:00:55,1718013193.0,那时候只有超级有钱的人才有资格,2024-06-10 17:53:13
00:00:41,1718013167.0,有点恐怖片的感觉了,2024-06-10 17:52:47
00:00:43,1718011892.0,报看,2024-06-10 17:31:32
00:00:16,1718011515.0,古人有混凝土吗,2024-06-10 17:25:15
00:00:55,1718011140.0,不觉得,2024-06-10 17:19:00
00:00:42,1718011109.0,嗯 ，美间,2024-06-10 17:18:29
00:00:10,1718010704.0,应为以前有没瓷砖啊,2024-06-10 17:11:44
00:00:44,1718010420.0,古人的搭配,2024-06-10 17:07:00
00:00:46,1718010348.0,？,2024-06-10 17:05:48
00:00:57,1718010224.0,苏州博物馆！,2024-06-10 17:03:44
00:00:42,1718009630.0,光头强的家（,2024-06-10 16:53:50
00:00:54,1718009462.0,还得配合这种木质的窗棂啥的,2024-06-10 16:51:02
00:00:53,1718008968.0,顶上有横梁,2024-06-10 16:42:48
00:00:47,1718008888.0,还是不好看,2024-06-10 16:41:28
00:00:57,1718008639.0,苏博啊,2024-06-10 16:37:19
00:00:47,1718008170.0,尬,2024-06-10 16:29:30
00:00:25,1718007445.0,这就是以前要放屏风的原因吗？,2024-06-10 16:17:25
00:00:40,1718006946.0,我们老家就这么摆,2024-06-10 16:09:06
00:00:31,1718006926.0,卧榻之侧，岂容他人酣睡。,2024-06-10 16:08:46
00:00:55,1718006906.0,确实好看,2024-06-10 16:08:26
00:00:21,1718006718.0,说大理石有辐射是挖到铀矿了？,2024-06-10 16:05:18
00:00:42,1718006572.0,主要还是挂画,2024-06-10 16:02:52
00:00:40,1718006494.0,太老气了一点不好看,2024-06-10 16:01:34
00:00:55,1718006392.0,无敌,2024-06-10 15:59:52
00:00:39,1718006351.0,我寻思原来的挂上也行啊,2024-06-10 15:59:11
00:00:55,1718006167.0,“好看”,2024-06-10 15:56:07
